iteration,K
100001,4
100002,4
100003,3
100004,3
100005,3
100006,5
100007,4
100008,4
100009,6
100010,8
100011,10
100012,7
100013,6
100014,7
100015,9
100016,9
100017,6
100018,8
100019,10
100020,8
100021,9
100022,6
100023,5
100024,6
100025,6
100026,10
100027,8
100028,10
100029,7
100030,8
100031,8
100032,9
100033,7
100034,8
100035,8
100036,6
100037,6
100038,9
100039,12
100040,9
100041,8
100042,9
100043,13
100044,14
100045,12
100046,15
100047,13
100048,17
100049,18
100050,26
100051,12
100052,11
100053,13
100054,16
100055,13
100056,9
100057,9
100058,8
100059,8
100060,6
100061,12
100062,8
100063,6
100064,9
100065,7
100066,8
100067,5
100068,5
100069,5
100070,5
100071,5
100072,6
100073,5
100074,4
100075,5
100076,8
100077,6
100078,6
100079,7
100080,3
100081,3
100082,3
100083,3
100084,3
100085,4
100086,3
100087,3
100088,4
100089,7
100090,5
100091,7
100092,8
100093,5
100094,5
100095,7
100096,6
100097,7
100098,6
100099,6
100100,8
100101,6
100102,8
100103,12
100104,8
100105,8
100106,8
100107,8
100108,11
100109,10
100110,10
100111,6
100112,16
100113,12
100114,22
100115,19
100116,18
100117,20
100118,15
100119,13
100120,10
100121,24
100122,13
100123,12
100124,8
100125,9
100126,13
100127,8
100128,10
100129,10
100130,10
100131,7
100132,6
100133,8
100134,10
100135,7
100136,5
100137,6
100138,6
100139,6
100140,6
100141,4
100142,5
100143,4
100144,4
100145,4
100146,5
100147,6
100148,4
100149,3
100150,4
100151,4
100152,5
100153,5
100154,6
100155,8
100156,4
100157,3
100158,3
100159,4
100160,6
100161,4
100162,6
100163,4
100164,6
100165,5
100166,4
100167,4
100168,3
100169,4
100170,3
100171,3
100172,5
100173,3
100174,3
100175,3
100176,4
100177,3
100178,3
100179,3
100180,3
100181,3
100182,4
100183,4
100184,3
100185,3
100186,4
100187,4
100188,10
100189,4
100190,3
100191,3
100192,4
100193,3
100194,4
100195,3
100196,3
100197,3
100198,3
100199,4
100200,10
100201,7
100202,5
100203,6
100204,5
100205,4
100206,3
100207,3
100208,3
100209,4
100210,4
100211,3
100212,3
100213,3
100214,3
100215,4
100216,3
100217,3
100218,6
100219,5
100220,3
100221,3
100222,3
100223,3
100224,5
100225,3
100226,3
100227,3
100228,3
100229,4
100230,3
100231,4
100232,3
100233,5
100234,11
100235,6
100236,8
100237,5
100238,6
100239,5
100240,6
100241,4
100242,5
100243,5
100244,5
100245,4
100246,4
100247,3
100248,3
100249,3
100250,3
100251,4
100252,5
100253,4
100254,4
100255,5
100256,5
100257,5
100258,4
100259,5
100260,5
100261,4
100262,4
100263,5
100264,5
100265,5
100266,4
100267,5
100268,4
100269,3
100270,3
100271,5
100272,4
100273,4
100274,4
100275,4
100276,6
100277,4
100278,5
100279,9
100280,5
100281,7
100282,7
100283,9
100284,5
100285,5
100286,3
100287,3
100288,3
100289,3
100290,4
100291,3
100292,3
100293,4
100294,4
100295,4
100296,4
100297,3
100298,3
100299,4
100300,4
100301,3
100302,3
100303,7
100304,4
100305,4
100306,5
100307,5
100308,3
100309,3
100310,3
100311,3
100312,4
100313,7
100314,4
100315,5
100316,4
100317,4
100318,5
100319,5
100320,4
100321,3
100322,3
100323,4
100324,3
100325,3
100326,4
100327,3
100328,3
100329,5
100330,5
100331,5
100332,4
100333,4
100334,5
100335,4
100336,4
100337,3
100338,6
100339,4
100340,4
100341,6
100342,7
100343,5
100344,3
100345,4
100346,3
100347,3
100348,3
100349,3
100350,3
100351,4
100352,4
100353,3
100354,6
100355,5
100356,8
100357,4
100358,5
100359,5
100360,5
100361,8
100362,8
100363,12
100364,11
100365,14
100366,12
100367,10
100368,8
100369,10
100370,10
100371,4
100372,5
100373,6
100374,6
100375,7
100376,5
100377,3
100378,3
100379,4
100380,3
100381,3
100382,3
100383,5
100384,3
100385,4
100386,7
100387,6
100388,4
100389,4
100390,5
100391,6
100392,6
100393,4
100394,5
100395,9
100396,7
100397,9
100398,10
100399,8
100400,5
100401,5
100402,5
100403,4
100404,5
100405,7
100406,7
100407,6
100408,9
100409,4
100410,4
100411,4
100412,5
100413,10
100414,4
100415,5
100416,5
100417,9
100418,10
100419,9
100420,7
100421,5
100422,7
100423,6
100424,7
100425,6
100426,4
100427,6
100428,6
100429,3
100430,4
100431,7
100432,6
100433,5
100434,5
100435,5
100436,5
100437,6
100438,5
100439,3
100440,5
100441,3
100442,4
100443,4
