iteration,K
100001,8
100002,8
100003,9
100004,8
100005,8
100006,9
100007,8
100008,8
100009,8
100010,8
100011,8
100012,8
100013,8
100014,8
100015,8
100016,9
100017,8
100018,8
100019,7
100020,7
100021,7
100022,7
100023,7
100024,7
100025,7
100026,7
100027,7
100028,7
100029,7
100030,7
100031,7
100032,7
100033,7
100034,7
100035,8
100036,7
100037,8
100038,9
100039,8
100040,7
100041,7
100042,7
100043,7
100044,7
100045,7
100046,7
100047,7
100048,7
100049,7
100050,7
100051,7
100052,7
100053,7
100054,7
100055,8
100056,7
100057,7
100058,7
100059,7
100060,7
100061,6
100062,6
100063,6
100064,8
100065,7
100066,7
100067,7
100068,7
100069,7
100070,7
100071,7
100072,7
100073,7
100074,7
100075,7
100076,7
100077,8
100078,8
100079,8
100080,9
100081,8
100082,8
100083,8
100084,8
100085,8
100086,8
100087,8
100088,8
100089,8
100090,8
100091,9
100092,8
100093,9
100094,8
100095,9
100096,8
100097,8
100098,8
100099,9
100100,8
100101,8
100102,8
100103,8
100104,8
100105,8
100106,8
100107,8
100108,9
100109,8
100110,8
100111,8
100112,8
100113,8
100114,8
100115,9
100116,8
100117,8
100118,9
100119,8
100120,8
100121,8
100122,9
100123,10
100124,10
100125,9
100126,9
100127,12
100128,10
100129,10
100130,10
100131,10
100132,9
100133,9
100134,9
100135,10
100136,9
100137,9
100138,9
100139,9
100140,8
100141,8
100142,8
100143,9
100144,9
100145,9
100146,9
100147,10
100148,9
100149,10
100150,10
100151,11
100152,9
100153,9
100154,10
100155,9
100156,10
100157,9
100158,9
100159,9
100160,9
100161,8
100162,9
100163,8
100164,8
100165,8
100166,8
100167,9
100168,8
100169,8
100170,9
100171,9
100172,9
100173,10
100174,9
100175,9
100176,9
100177,10
100178,10
100179,9
100180,8
100181,8
100182,9
100183,9
100184,9
100185,9
100186,8
100187,8
100188,8
100189,8
100190,9
100191,8
100192,8
100193,9
100194,8
100195,8
100196,8
100197,8
100198,8
100199,8
100200,8
100201,8
100202,8
100203,8
100204,8
100205,8
100206,9
100207,9
100208,9
100209,9
100210,8
100211,8
100212,8
100213,9
100214,8
100215,9
100216,9
100217,9
100218,9
100219,10
100220,9
100221,9
100222,10
100223,8
100224,8
100225,9
100226,8
100227,8
100228,8
100229,8
100230,9
100231,9
100232,8
100233,8
100234,9
100235,7
100236,7
100237,8
100238,7
100239,7
100240,8
100241,8
100242,8
100243,9
100244,9
100245,8
100246,8
100247,8
100248,9
100249,9
100250,8
100251,9
100252,8
100253,9
100254,8
100255,8
100256,7
100257,7
100258,7
100259,8
100260,8
100261,8
100262,9
100263,8
100264,8
100265,8
100266,9
100267,10
100268,7
100269,8
100270,7
100271,7
100272,7
100273,7
100274,7
100275,7
100276,7
100277,7
100278,7
100279,7
100280,7
100281,7
100282,7
100283,7
100284,7
100285,6
100286,6
100287,6
100288,7
100289,6
100290,6
100291,6
100292,6
100293,6
100294,6
100295,6
100296,6
100297,6
100298,6
100299,6
100300,8
100301,8
100302,8
100303,8
100304,9
100305,8
100306,9
100307,8
100308,9
100309,10
100310,10
100311,10
100312,11
100313,10
100314,9
100315,9
100316,10
100317,9
100318,10
100319,11
100320,10
100321,10
100322,9
100323,9
100324,10
100325,9
100326,11
100327,9
100328,10
100329,10
100330,9
100331,9
100332,11
100333,11
100334,10
100335,11
100336,9
100337,9
100338,10
100339,9
100340,9
100341,9
100342,11
100343,11
100344,10
100345,10
100346,10
100347,9
100348,10
100349,9
100350,11
100351,9
100352,9
100353,9
100354,9
100355,9
100356,9
100357,10
100358,10
100359,10
100360,9
100361,9
100362,9
100363,9
100364,9
100365,10
100366,10
100367,9
100368,9
100369,9
100370,12
100371,9
100372,9
100373,9
100374,9
100375,9
100376,9
100377,9
100378,10
100379,10
100380,10
100381,10
100382,10
100383,11
100384,13
100385,14
100386,14
100387,14
100388,15
100389,15
100390,12
100391,12
100392,14
100393,12
100394,12
100395,11
100396,11
100397,14
100398,13
100399,13
100400,13
100401,12
100402,12
100403,13
100404,12
100405,14
100406,12
100407,12
100408,13
100409,12
100410,14
100411,12
100412,13
100413,13
100414,14
100415,13
100416,14
100417,13
100418,13
100419,14
100420,13
100421,13
100422,13
100423,12
100424,12
100425,13
100426,13
100427,15
100428,14
100429,14
100430,13
100431,15
100432,14
100433,16
100434,16
100435,15
100436,15
100437,16
100438,18
100439,20
100440,19
100441,17
100442,17
100443,18
100444,19
100445,20
100446,18
100447,17
100448,16
100449,17
100450,18
100451,19
100452,17
100453,16
100454,15
100455,19
100456,18
100457,18
100458,20
100459,19
100460,16
100461,16
100462,16
100463,15
100464,15
100465,17
100466,14
100467,14
100468,14
100469,14
100470,12
100471,17
100472,14
100473,13
100474,12
100475,12
100476,13
100477,12
100478,12
100479,12
100480,14
100481,13
100482,13
100483,12
100484,12
100485,12
100486,12
100487,11
100488,12
100489,13
100490,12
100491,12
100492,10
100493,11
100494,10
100495,10
100496,12
100497,10
100498,10
100499,10
100500,10
100501,11
100502,10
100503,10
100504,13
100505,10
100506,10
100507,10
100508,12
100509,11
100510,10
100511,10
100512,9
100513,9
100514,9
100515,9
100516,9
100517,10
100518,10
100519,10
100520,11
100521,12
100522,13
100523,11
100524,12
100525,11
100526,11
100527,11
100528,12
100529,11
100530,11
100531,11
100532,12
100533,10
100534,10
100535,10
100536,10
100537,10
100538,10
100539,9
100540,9
100541,9
100542,9
100543,10
100544,9
100545,10
100546,10
100547,10
100548,10
100549,10
100550,11
100551,10
100552,10
100553,11
100554,10
100555,10
100556,10
100557,11
100558,11
100559,12
100560,13
100561,12
100562,14
100563,12
100564,12
100565,13
100566,12
100567,12
100568,12
100569,13
100570,12
100571,11
100572,11
100573,11
100574,12
100575,13
100576,11
100577,11
100578,10
100579,10
100580,10
100581,10
100582,10
100583,11
100584,10
100585,10
100586,11
100587,10
100588,10
100589,10
100590,11
100591,10
100592,11
100593,10
100594,9
100595,9
100596,9
100597,9
100598,9
100599,10
100600,9
100601,9
100602,11
100603,9
100604,9
100605,9
100606,9
100607,9
100608,9
100609,10
100610,10
100611,9
100612,9
100613,9
100614,9
100615,9
100616,9
100617,10
100618,9
100619,10
100620,9
100621,10
100622,9
100623,9
100624,10
100625,10
100626,10
100627,11
100628,9
100629,10
100630,9
100631,9
100632,9
100633,9
100634,9
100635,9
100636,9
100637,9
100638,9
100639,9
100640,9
100641,9
100642,9
100643,9
100644,8
100645,8
100646,8
100647,8
100648,8
100649,8
100650,8
100651,9
100652,9
100653,9
100654,9
100655,9
100656,10
100657,9
100658,9
100659,8
100660,8
100661,9
100662,9
100663,8
100664,8
100665,8
100666,8
100667,9
100668,8
100669,10
100670,8
100671,8
100672,8
100673,9
100674,9
100675,10
100676,9
100677,9
100678,9
100679,9
100680,9
100681,9
100682,9
100683,9
100684,9
100685,9
100686,9
100687,10
100688,9
100689,9
100690,9
100691,9
100692,9
100693,10
100694,10
100695,9
100696,9
100697,10
100698,9
100699,10
100700,9
100701,9
100702,8
100703,8
100704,9
100705,8
100706,9
100707,8
100708,8
100709,9
100710,8
100711,9
100712,9
100713,9
100714,8
100715,8
100716,9
100717,8
100718,8
100719,8
100720,9
100721,9
100722,9
100723,8
100724,8
100725,8
100726,8
100727,9
100728,9
100729,10
100730,9
100731,9
100732,8
100733,10
100734,8
100735,8
100736,8
100737,8
100738,8
100739,7
100740,7
100741,7
100742,6
100743,6
